lap_index(iter),lap_time_s,mean_speed_mps
2,15.500,1.647
3,13.250,1.926
4,12.300,2.075
5,11.600,2.200
6,11.050,2.310
7,10.500,2.431
8,10.300,2.478
9,10.000,2.552
10,9.650,2.645
11,9.350,2.730
12,9.100,2.805
13,8.750,2.917
14,8.550,2.985
15,8.350,3.056
16,8.200,3.112
17,8.000,3.190
18,7.850,3.251
19,7.750,3.293
20,7.550,3.380
21,7.500,3.403
22,7.350,3.472
23,7.250,3.520
24,7.150,3.569
25,7.050,3.620
26,6.900,3.699
27,6.850,3.726
28,6.800,3.753
29,6.650,3.838
30,6.600,3.867
31,6.550,3.896
32,6.400,3.988
33,6.400,3.988
34,6.300,4.051
35,6.150,4.150
36,6.100,4.184
37,6.050,4.218
38,6.000,4.254
